QSO z_abs EW_r EW_r_e logN logN_l logN_u
J151224+465233 2.4600739 0.11 0.004 13.535 0.042 0.057
J151224+465233 2.5341203 1.201 0.014 14.835 0.0 1.0
J151224+465233 2.89512 0.096 0.009 13.46 0.037 0.065
J151224+465233 3.084423 0.158 0.013 13.712 0.028 0.061
J151224+465233 2.5085357 0.254 0.017 13.877 0.023 0.037
J152156+520238 1.8750075 0.145 0.004 13.677 0.032 0.035
J152156+520238 2.0915796 0.014 0.002 12.557 0.03 0.049
J154153+315329 2.1983623 0.457 0.009 14.428 0.0 1.0
J154153+315329 2.5153869 0.433 0.015 14.213 0.021 0.026
J154153+315329 2.442939 0.179 0.011 13.708 0.019 0.029
J155556+480015 2.4775089 0.216 0.003 14.052 0.037 0.062
J155556+480015 2.9352902 0.043 0.006 13.098 0.056 0.112
J155556+480015 2.4705475 0.06 0.008 13.209 0.036 0.071
J155556+480015 3.0893087 0.356 0.02 14.069 0.022 0.038
J155556+480015 2.3918656 1.531 0.015 14.865 0.0 1.0
J155810-003120 2.3534765 0.658 0.007 14.543 0.0 1.0
J155810-003120 2.2155664 0.021 0.002 12.733 0.053 0.088
J155810-003120 2.3253158 0.174 0.006 13.707 0.035 0.041
J155810-003120 2.1670001 0.195 0.005 13.816 0.044 0.05
J155810-003120 2.7289242 0.49 0.005 14.349 0.034 0.037
J155810-003120 2.7092135 0.095 0.002 13.489 0.055 0.063
J155810-003120 2.1326534 0.025 0.002 12.822 0.054 0.072
J155810-003120 2.2893334 1.23 0.011 14.748 0.022 0.025
J155810-003120 2.6076647 0.148 0.002 13.765 0.057 0.062
J155810-003120 2.633889 0.04 0.003 13.024 0.044 0.061
J155810-003120 2.4336995 0.032 0.002 12.925 0.056 0.075
J155810-003120 2.1014606 0.205 0.005 13.786 0.035 0.04
J155814+405337 2.0479313 0.124 0.004 13.666 0.051 0.066
J155814+405337 2.4642465 0.08 0.004 13.373 0.045 0.063
J155814+405337 2.5531105 0.359 0.009 14.168 0.032 0.041
J160413+395121 2.4256258 0.203 0.012 13.923 0.026 0.038
J160413+395121 2.866179 0.331 0.009 14.124 0.02 0.036
J160413+395121 2.8976242 0.126 0.005 13.672 0.036 0.047
J160547+511330 1.7253229 0.042 0.004 13.094 0.038 0.07
J160843+071508 2.8161172 0.255 0.012 13.852 0.017 0.022
J160843+071508 2.6244014 0.234 0.009 13.844 0.023 0.028
J160843+071508 2.4438611 0.029 0.003 12.878 0.039 0.059
J160843+071508 2.3572067 0.06 0.004 13.238 0.048 0.061
J160843+071508 2.5456269 0.027 0.002 12.847 0.043 0.062
J160843+071508 2.4220853 0.157 0.005 13.716 0.036 0.042
J160843+071508 2.5776021 0.035 0.004 12.95 0.029 0.052
J160843+071508 2.3477426 0.059 0.003 13.205 0.035 0.047
J160843+071508 2.2713936 1.074 0.005 14.955 0.0 1.0
J162116-004250 2.9718532 0.085 0.003 13.362 0.035 0.04
J162116-004250 3.2411586 0.017 0.001 12.64 0.048 0.066
J162116-004250 2.8184704 0.211 0.003 13.828 0.035 0.037
J162116-004250 3.1081594 1.009 0.004 14.696 0.023 0.025
J162116-004250 2.8900422 0.377 0.008 14.054 0.023 0.025
J162116-004250 3.2126463 0.029 0.002 12.88 0.036 0.052
J162116-004250 2.873621 0.063 0.002 13.225 0.035 0.043
J162116-004250 2.995942 0.022 0.001 12.784 0.072 0.084
J162116-004250 3.2008222 0.076 0.004 13.306 0.031 0.038
J162116-004250 3.0204751 0.023 0.002 12.756 0.034 0.054
J162453+375806 2.9722164 0.18 0.004 13.766 0.037 0.043
J162453+375806 3.0432473 0.537 0.017 14.207 0.018 0.023
J162453+375806 2.6371208 0.208 0.005 14.061 0.049 0.065
J162548+264433 2.2455145 0.138 0.006 13.634 0.039 0.058
J162548+264433 1.8451475 0.061 0.005 13.246 0.053 0.082
J162548+264433 2.1119893 0.301 0.007 14.111 0.04 0.07
J162548+264433 2.1570729 0.049 0.004 13.125 0.048 0.077
J162548+264433 2.1863938 0.05 0.004 13.159 0.052 0.082
J162548+264658 1.8800673 0.215 0.003 13.996 0.067 0.08
J162548+264658 2.4013134 0.303 0.008 14.09 0.046 0.06
J162548+264658 1.926095 0.027 0.002 12.863 0.084 0.112
J162548+264658 2.2445963 0.102 0.003 13.506 0.059 0.07
J162548+264658 2.4437313 0.091 0.004 13.397 0.046 0.058
J162548+264658 1.9728196 0.14 0.004 13.642 0.055 0.063
J162548+264658 2.0525708 1.22 0.007 14.879 0.0 1.0
J162548+264658 2.1612348 0.227 0.006 13.854 0.042 0.047
J162557+264448 2.2415994 2.295 0.021 15.121 0.0 1.0
J162557+264448 1.9854922 0.241 0.005 14.156 0.0 1.0
J162557+264448 2.0425261 0.165 0.006 13.718 0.047 0.063
J162557+264448 2.1150614 0.109 0.002 13.667 0.076 0.102
J162557+264448 2.5510059 0.135 0.005 13.639 0.048 0.063
J162557+264448 2.094152 0.917 0.012 14.545 0.024 0.032
J162902+091322 1.615533 0.817 0.006 14.723 0.0 1.0
J162902+091322 1.9036087 2.173 0.023 15.09 0.0 1.0
J162902+091322 1.6641782 0.056 0.003 13.306 0.068 0.103
J162902+091322 1.7293668 0.428 0.013 14.301 0.0 1.0
J162902+091322 1.8259634 0.046 0.006 13.102 0.038 0.085
J163429+703132 1.2240728 0.029 0.004 12.89 0.052 0.101
J163429+703132 1.0403844 0.527 0.034 14.27 0.02 0.059
J164656+551445 3.1932306 0.151 0.003 13.667 0.033 0.036
J164656+551445 3.4207073 0.036 0.002 12.972 0.039 0.048
J164656+551445 3.8110339 0.022 0.003 12.722 0.038 0.063
J164656+551445 3.3225599 0.041 0.005 12.994 0.024 0.039
J164656+551445 3.2887388 0.167 0.007 13.677 0.025 0.029
J164656+551445 3.8801352 0.045 0.005 13.057 0.019 0.038
J164656+551445 3.1622035 0.054 0.003 13.141 0.024 0.035
J164656+551445 3.5431597 0.504 0.008 14.25 0.02 0.023
J164656+551445 3.3412109 0.027 0.003 12.836 0.023 0.038
J164656+551445 3.1287927 0.04 0.003 13.024 0.036 0.045
J171227+575507 2.4522197 0.069 0.004 13.342 0.083 0.107
J171227+575507 2.2529208 0.735 0.006 14.507 0.037 0.043
J171227+575507 2.5944404 0.049 0.006 13.085 0.034 0.076
J171227+575507 2.7113076 0.037 0.003 12.973 0.063 0.102
J171227+575507 2.3451286 0.18 0.006 13.764 0.055 0.065
J171227+575507 2.308761 0.218 0.003 14.177 0.071 0.096
J171227+575507 2.8153088 0.214 0.004 13.926 0.055 0.068
J171227+575507 2.8488642 0.238 0.01 13.866 0.039 0.049
J172323+224357 3.3488623 0.087 0.003 13.396 0.038 0.049
J173352+540030 2.8513909 0.066 0.002 13.291 0.051 0.06
J173352+540030 3.1194248 0.09 0.003 13.402 0.037 0.045
J173352+540030 3.1397422 0.477 0.006 14.328 0.031 0.038
J173352+540030 2.4915109 0.146 0.002 13.964 0.066 0.071
J173352+540030 3.1568004 0.029 0.002 12.904 0.069 0.093
J173352+540030 3.028904 0.258 0.007 13.891 0.027 0.032
J173352+540030 3.1716213 0.078 0.004 13.345 0.041 0.05
J173352+540030 2.9492214 0.032 0.002 12.926 0.045 0.062
J175603+574848 1.9705638 2.836 0.006 15.326 0.0 1.0
J175603+574848 2.0557069 0.631 0.022 14.276 0.018 0.023
J175603+574848 2.0420792 0.498 0.006 14.391 0.033 0.045
J175746+753916 2.9151761 0.136 0.005 13.59 0.031 0.035
J175746+753916 2.4841516 0.146 0.006 13.644 0.032 0.039
J175746+753916 2.8956722 0.088 0.004 13.384 0.034 0.043
J175746+753916 2.6250156 0.756 0.008 14.615 0.0 1.0
J175746+753916 2.8493272 0.872 0.005 14.663 0.0 1.0
J185230+401906 2.0407097 0.112 0.012 13.547 0.036 0.088
J185230+401906 1.9897245 1.148 0.017 14.717 0.008 0.023
J194454+760552 2.7772746 0.02 0.002 12.706 0.056 0.068
J194454+760552 2.4652947 0.017 0.002 12.628 0.038 0.063
J194454+760552 2.6443698 0.071 0.001 13.392 0.062 0.066
J194454+760552 2.3952529 0.024 0.001 12.814 0.064 0.073
J194454+760552 2.2640212 0.014 0.001 12.548 0.061 0.081
J194454+760552 2.9166568 0.021 0.001 12.724 0.045 0.059
J194454+760552 2.8435792 0.491 0.003 14.37 0.03 0.032
J194454+760552 2.8928648 0.099 0.003 13.433 0.029 0.034
J201717-401924 3.0330686 0.058 0.006 13.198 0.034 0.065
J203642-055300 2.1404861 0.15 0.006 13.698 0.044 0.066
J203642-055300 2.2804022 0.081 0.005 13.396 0.055 0.078
J203642-055300 1.9224024 0.526 0.012 14.362 0.0 1.0
J203642-055300 2.5243466 0.708 0.012 14.518 0.022 0.034
J203642-055300 2.5117077 0.508 0.015 14.316 0.026 0.044
J203642-055300 2.3028897 0.054 0.005 13.179 0.05 0.091
J203642-055300 2.3296427 0.095 0.004 13.525 0.063 0.085
J210025-064146 2.892187 0.238 0.006 13.854 0.04 0.048
J210025-064146 3.0922869 1.083 0.005 14.845 0.0 1.0
J210025-064146 2.8764977 0.062 0.002 13.285 0.083 0.101
J210025-064146 2.4895222 0.185 0.006 13.731 0.046 0.057
J210025-064146 2.7445961 0.115 0.004 13.512 0.051 0.066
J210025-064146 2.4093877 0.141 0.005 13.643 0.061 0.072
J210244-355307 2.6998819 0.477 0.009 14.392 0.0 1.0
J210244-355307 2.9711999 0.026 0.003 12.834 0.037 0.067
J210244-355307 2.4340473 0.547 0.006 14.493 0.0 1.0
J210244-355307 2.7942087 0.044 0.003 13.083 0.048 0.07
J210244-355307 2.9104703 0.079 0.004 13.325 0.03 0.045
J210244-355307 2.6838347 0.225 0.009 13.83 0.027 0.038
J210244-355307 2.2849487 0.131 0.011 13.588 0.039 0.053
J210244-355307 2.3960526 0.162 0.009 13.738 0.036 0.059
J210244-355307 2.2678978 0.103 0.003 13.524 0.045 0.059
J211654-433234 1.9201328 0.617 0.031 14.292 0.017 0.025
J211654-433234 1.5430788 0.21 0.005 14.001 0.034 0.061
J211654-433234 1.4852167 0.601 0.008 14.429 0.026 0.034
J211927-353740 1.8839316 0.062 0.005 13.241 0.038 0.059
J211927-353740 2.306599 0.433 0.01 14.184 0.028 0.03
J211927-353740 2.0772314 0.011 0.002 12.409 0.042 0.099
J211927-353740 2.0679216 0.129 0.003 13.638 0.046 0.054
J211927-353740 1.6878347 0.485 0.004 14.563 0.024 0.032
J211927-353740 2.0876258 0.06 0.003 13.229 0.049 0.062
J211927-353740 1.9967551 1.202 0.01 14.953 0.0 1.0
J212449+094855 1.4524211 0.803 0.025 14.58 0.0 1.0
J212449+094855 1.8688508 1.212 0.044 14.715 0.0 1.0
J212449+094855 1.730323 1.124 0.027 14.735 0.0 1.0
J212449+094855 1.4708114 1.487 0.022 14.889 0.0 1.0
J212904-160249 2.847724 0.16 0.01 13.791 0.03 0.05
J212904-160249 2.1631335 1.179 0.009 14.853 0.0 1.0
J212904-160249 2.3567177 0.116 0.011 13.589 0.024 0.052
J212904-160249 2.8230539 0.082 0.005 13.419 0.031 0.053
J213605-430818 2.116418 0.022 0.003 12.75 0.051 0.097
J213605-430818 2.2833814 0.026 0.003 12.849 0.047 0.087
J213605-430818 2.0884459 0.264 0.011 13.927 0.029 0.037
J213605-430818 2.3817184 0.09 0.005 13.392 0.03 0.048
J213605-430818 1.7408302 0.521 0.006 14.372 0.028 0.034
J213605-430818 1.9043997 0.24 0.006 14.064 0.038 0.065
J213605-430818 2.0640896 0.118 0.007 13.548 0.038 0.052
J213605-430818 1.9149675 1.189 0.023 14.785 0.0 1.0
J213605-430818 1.7230216 0.122 0.01 13.542 0.033 0.047
J214159-441325 2.9436776 0.519 0.016 14.216 0.022 0.026
J214159-441325 2.929242 0.107 0.008 13.442 0.024 0.035
J214159-441325 2.9011508 0.698 0.016 14.413 0.022 0.025
J214159-441325 2.8515678 0.802 0.014 14.465 0.021 0.024
J214159-441325 2.7653186 0.403 0.014 14.094 0.022 0.027
J214159-441325 2.7851759 0.215 0.006 13.892 0.039 0.046
J214222-441929 2.4618668 0.051 0.005 13.202 0.052 0.105
J214222-441929 2.8117913 0.287 0.017 13.92 0.019 0.034
J214222-441929 2.3682235 0.336 0.016 14.077 0.028 0.04
J214222-441929 2.7631591 0.558 0.027 14.31 0.017 0.036
J214222-441929 3.0428766 0.401 0.01 14.23 0.021 0.052
J214222-441929 2.8526395 0.498 0.013 14.305 0.021 0.033
J214222-441929 2.35537 0.162 0.01 13.717 0.035 0.05
J215155-302753 1.882023 0.183 0.01 13.807 0.039 0.051
J215155-302753 1.6845137 0.106 0.003 13.521 0.051 0.061
J215155-302753 1.6384657 0.075 0.001 13.576 0.08 0.091
J215155-302753 1.7002453 0.848 0.011 14.672 0.02 0.027
J215324+053618 1.5282069 0.16 0.007 13.776 0.038 0.065
J215324+053618 1.4246811 0.329 0.013 14.182 0.0 1.0
J215324+053618 1.47466 0.098 0.01 13.479 0.038 0.072
J215324+053618 1.8826454 0.118 0.012 13.535 0.031 0.059
J215324+053618 1.7295287 0.346 0.014 14.102 0.027 0.047
J215502+135825 3.551888 0.123 0.005 13.615 0.044 0.058
J215502+135825 3.4854943 0.202 0.004 13.865 0.038 0.047
J215502+135825 3.314948 0.596 0.019 14.254 0.016 0.022
J215502+135825 3.3355153 0.146 0.01 13.611 0.027 0.04
J215502+135825 3.7039642 0.128 0.009 13.552 0.027 0.042
J220639-181846 2.0450318 0.1 0.004 13.524 0.033 0.049
J220639-181846 2.3079856 0.675 0.016 14.505 0.0 1.0
J220639-181846 2.533502 0.057 0.007 13.195 0.028 0.063
J221527-161133 3.7094036 0.296 0.012 13.956 0.023 0.033
J221527-161133 3.3059046 0.212 0.008 13.802 0.029 0.04
J221527-161133 3.4896392 0.12 0.008 13.513 0.026 0.042
J221527-161133 2.9541889 0.218 0.002 14.048 0.05 0.058
J221531-174408 1.7429866 0.89 0.008 14.691 0.0 1.0
J221531-174408 1.9757241 0.019 0.002 12.707 0.038 0.074
J221531-174408 1.8011741 0.176 0.002 13.855 0.048 0.052
J221531-174408 2.021641 0.28 0.002 14.252 0.0 1.0
J221531-174408 2.1628359 0.056 0.005 13.18 0.039 0.064
J221531-174408 1.7955861 0.034 0.003 12.939 0.037 0.055
J221531-174408 2.0462611 0.032 0.003 12.916 0.038 0.056
J221531-174408 2.1085204 0.043 0.002 13.063 0.046 0.057
J221651-671443 3.7301884 0.164 0.01 13.659 0.026 0.035
J221651-671443 3.8405417 0.122 0.009 13.536 0.03 0.042
J221651-671443 3.5921572 0.05 0.003 13.103 0.045 0.063
J221651-671443 3.9946363 0.076 0.005 13.323 0.035 0.05
J222256-094636 2.2800848 0.071 0.006 13.279 0.021 0.04
J222256-094636 2.4167737 0.126 0.008 13.573 0.023 0.039
J222256-094636 2.3543252 1.482 0.014 14.973 0.0 1.0
J222256-094636 2.8645889 0.396 0.014 14.136 0.017 0.025
J222540-392436 2.1226396 0.554 0.024 14.372 0.0 1.0
J222756-224302 1.6831473 0.044 0.002 13.062 0.045 0.057
J222756-224302 1.343094 0.217 0.003 13.906 0.041 0.043
J222756-224302 1.4336931 0.808 0.002 14.537 0.023 0.024
J222756-224302 1.4519486 0.304 0.004 14.005 0.031 0.033
J222756-224302 1.4129159 0.265 0.004 14.101 0.049 0.054
J222756-224302 1.6398606 0.388 0.002 14.295 0.037 0.039
J222756-224302 1.8534438 0.382 0.003 14.137 0.03 0.032
J222756-224302 1.3296615 0.241 0.002 14.007 0.043 0.046
J222940-083254 1.5011432 0.277 0.005 14.206 0.0 1.0
J223619+132620 2.5545001 0.533 0.016 14.277 0.021 0.028
J223619+132620 2.8918541 0.129 0.006 13.592 0.032 0.043
J223619+132620 2.6602175 0.104 0.003 13.589 0.05 0.064
J223619+132620 3.1513737 0.223 0.007 13.916 0.029 0.044
J223619+132620 2.7464983 0.114 0.008 13.572 0.038 0.059
J223619+132620 2.8747181 0.088 0.007 13.395 0.03 0.05
J223850-295300 2.253399 0.06 0.004 13.287 0.056 0.094
J223850-295300 2.0968184 0.827 0.024 14.56 0.0 1.0
J223850-295300 2.1790942 0.357 0.015 14.238 0.0 1.0
J223938-295450 1.3667255 0.547 0.014 14.405 0.0 1.0
J223941-294954 1.7073185 1.133 0.02 14.729 0.0 1.0
J223941-294954 1.8251021 0.489 0.011 14.403 0.0 1.0
J223951-294836 1.657036 0.355 0.013 14.216 0.02 0.048
J223953-055219 3.4808062 0.04 0.002 13.049 0.044 0.058
J223953-055219 4.2305139 0.1 0.01 13.449 0.031 0.044
J223953-055219 3.7468741 0.063 0.008 13.208 0.022 0.045
J223953-055219 3.8313431 0.413 0.024 14.134 0.017 0.028
J223953-055219 4.3606457 0.457 0.014 14.176 0.016 0.023
J223953-055219 3.9781855 0.114 0.013 13.475 0.016 0.031
J223953-055219 4.0796972 0.209 0.015 13.822 0.026 0.037
J224145+122557 2.5335616 0.181 0.016 13.744 0.021 0.035
J224145+122557 2.4178625 0.1 0.01 13.476 0.022 0.048
J224145+122557 2.1519303 0.24 0.018 13.991 0.021 0.04
J224145+122557 1.8743412 0.491 0.004 14.546 0.0 1.0
J224145+122557 2.2293025 0.168 0.01 13.793 0.025 0.041
J224752-123719 1.6773585 0.058 0.005 13.23 0.049 0.073
J224752-123719 1.4806868 0.034 0.003 12.99 0.052 0.095
J224752-123719 1.3428027 0.316 0.013 14.11 0.0 1.0
J224752-123719 1.5676935 0.047 0.006 13.093 0.041 0.076
J225153-314619 1.2728089 0.033 0.003 12.961 0.047 0.079
J225154-314520 1.655582 0.806 0.009 14.681 0.0 1.0
J225154-314520 1.7077514 0.185 0.015 13.726 0.025 0.039
J225154-314520 1.3575621 1.16 0.012 14.831 0.0 1.0
J225310-365815 2.7410626 0.127 0.006 13.556 0.032 0.043
J225310-365815 2.6930462 0.301 0.011 13.959 0.024 0.032
J225310-365815 2.896045 0.047 0.004 13.062 0.035 0.056
J225310-365815 2.9071304 0.114 0.003 13.538 0.041 0.049
J225310-365815 2.7352104 0.055 0.003 13.229 0.06 0.075
J225409+244523 1.6459207 0.195 0.009 13.939 0.037 0.09
J225409+244523 1.7499592 0.294 0.01 14.13 0.0 1.0
J225409+244523 2.1558774 0.681 0.01 14.558 0.0 1.0
J225719-100104 1.8349294 1.607 0.014 14.973 0.0 1.0
J225719-100104 1.6612707 0.259 0.007 14.07 0.032 0.042
J225719-100104 1.9012791 0.027 0.002 12.892 0.072 0.104
J225719-100104 1.9618824 0.103 0.005 13.508 0.044 0.059
J230301-093930 2.9347352 0.017 0.002 12.605 0.041 0.073
J230301-093930 2.944847 0.06 0.002 13.236 0.048 0.056
J230301-093930 3.100364 0.172 0.003 13.727 0.036 0.04
J230301-093930 2.6950106 0.037 0.002 13.0 0.044 0.056
J230301-093930 3.3118964 0.036 0.003 12.969 0.043 0.058
J230301-093930 3.3370088 0.022 0.001 12.773 0.05 0.066
J231324+003444 2.048577 0.929 0.011 14.656 0.021 0.028
J231324+003444 1.9023604 0.383 0.014 14.16 0.027 0.04
J231324+003444 1.4824262 0.257 0.005 14.108 0.041 0.06
J231324+003444 1.5541309 0.029 0.004 12.899 0.043 0.094
J231324+003444 1.501849 0.199 0.01 13.824 0.036 0.049
J231324+003444 1.8320654 0.375 0.017 14.082 0.022 0.034
J231324+003444 1.6873051 0.331 0.007 14.341 0.0 1.0
J231359-370446 2.3320802 0.111 0.007 13.488 0.029 0.043
J231543+145606 2.5941696 0.159 0.005 13.917 0.043 0.061
J231543+145606 2.5322914 0.046 0.004 13.108 0.064 0.094
J231543+145606 2.8982844 0.042 0.006 13.058 0.05 0.086
J232046-294406 1.7187749 0.248 0.006 14.113 0.0 1.0
J232046-294406 1.8877423 1.686 0.019 14.931 0.0 1.0
J232115+142131 2.3449915 0.214 0.011 13.839 0.027 0.048
J232115+142131 2.4756598 0.075 0.003 13.483 0.062 0.101
J232128-105122 2.6156904 0.023 0.003 12.75 0.039 0.062
J232128-105122 2.6281817 0.029 0.002 12.874 0.042 0.06
J232128-105122 2.8929033 0.112 0.002 13.65 0.06 0.065
J232128-105122 2.2095922 0.108 0.003 13.494 0.038 0.044
J232128-105122 2.4542918 0.053 0.004 13.143 0.032 0.045
J232128-105122 2.7820369 0.013 0.002 12.496 0.045 0.085
J232128-105122 2.6628857 0.097 0.005 13.414 0.031 0.039
J232128-105122 2.5208794 0.368 0.004 14.285 0.039 0.042
J232128-105122 2.2011071 0.188 0.005 13.742 0.03 0.034
J232917-473019 1.2614276 1.009 0.023 14.631 0.0 1.0
J233156-090802 2.5665456 0.108 0.004 13.727 0.051 0.071
J233156-090802 2.4993993 0.417 0.011 14.154 0.024 0.031
J233156-090802 2.0277512 0.581 0.106 14.377 0.02 0.032
J233156-090802 2.320608 0.223 0.01 13.931 0.039 0.049
J233156-090802 2.1405082 2.217 0.011 15.168 0.0 1.0
J233756-175220 1.3234096 0.25 0.014 14.012 0.0 1.0
J233823+150445 2.31899 0.08 0.005 13.518 0.04 0.075
J233823+150445 2.2329162 0.232 0.008 13.96 0.033 0.056
J234352+141014 2.2359915 0.297 0.006 14.108 0.042 0.057
J234352+141014 2.6968493 0.584 0.016 14.4 0.024 0.042
J234352+141014 2.6766546 0.151 0.009 13.673 0.046 0.079
J234352+141014 2.8452407 0.689 0.012 14.523 0.028 0.047
J234352+141014 2.7768333 0.107 0.006 13.587 0.067 0.095
J234352+141014 2.2913262 0.498 0.014 14.366 0.0 1.0
J234352+141014 2.1036908 0.141 0.003 13.764 0.077 0.093
J234352+141014 2.6584163 0.103 0.005 13.555 0.065 0.1
J234403+034226 3.4893271 0.064 0.004 13.283 0.046 0.067
J234403+034226 3.2201582 0.566 0.004 14.663 0.0 1.0
J234403+034226 3.8845315 0.451 0.01 14.22 0.025 0.033
J234403+034226 3.3643799 0.086 0.006 13.377 0.029 0.049
J234856-104131 2.3624812 0.433 0.003 14.434 0.0 1.0
J234856-104131 2.6314691 0.3 0.011 14.074 0.031 0.071
J234856-104131 2.3433811 0.174 0.004 13.95 0.05 0.073
J234856-104131 2.6919496 0.099 0.01 13.443 0.035 0.063
J234856-104131 2.6779416 0.345 0.01 14.136 0.028 0.047
J235050+045507 2.0751032 0.182 0.009 13.876 0.044 0.067
J235050+045507 2.168472 0.703 0.013 14.627 0.011 0.021
J235050+045507 2.5094899 0.303 0.01 14.175 0.029 0.076
J235050+045507 2.2804256 1.443 0.029 14.947 0.0 1.0
J235050+045507 2.0489859 0.078 0.01 13.327 0.034 0.068
J235050+045507 1.8548758 0.028 0.002 12.895 0.064 0.096
J235050+045507 1.9254108 0.054 0.004 13.24 0.066 0.098
J235050+045507 2.5335883 0.485 0.019 14.271 0.024 0.038
J235534-395355 1.5389939 0.217 0.013 13.814 0.027 0.038
J235534-395355 1.2976791 1.096 0.013 14.825 0.0 1.0
J235702-004824 2.6776056 0.106 0.006 13.488 0.036 0.049
J235702-004824 2.744771 0.054 0.006 13.162 0.038 0.066
J235702-004824 2.3663581 0.164 0.005 13.751 0.043 0.05
J235702-004824 2.4822543 0.748 0.01 14.529 0.0 1.0
J235702-004824 2.800137 0.05 0.006 13.1 0.034 0.062
J235702-004824 2.5092109 0.396 0.017 14.09 0.023 0.029
J235702-004824 1.5017066 0.298 0.01 14.054 0.033 0.042
J235714-273659 1.677491 0.273 0.021 13.968 0.026 0.05
