QSO z_abs EW_r EW_r_e logN logN_l logN_u
J013724-422417 3.7090457 0.112 0.009 13.512 0.029 0.055
J013754-270736 2.8469264 0.108 0.005 13.593 0.049 0.067
J013754-270736 3.0811388 0.878 0.023 14.559 0.0 1.0
J013825-000534 1.186485 0.674 0.022 14.506 0.0 1.0
J013901-082444 2.5261211 0.364 0.012 14.168 0.022 0.04
J013901-082444 2.2325457 0.733 0.023 14.499 0.0 1.0
J013901-082444 2.3640516 0.611 0.01 14.485 0.0 1.0
J013901-082444 2.6293867 0.361 0.011 14.213 0.029 0.051
J013901-082444 2.6769035 0.353 0.014 14.174 0.0 1.0
J013901-082444 2.3261368 0.233 0.009 14.009 0.029 0.056
J014049-083942 3.4137178 0.078 0.004 13.328 0.037 0.048
J014049-083942 3.3351898 0.042 0.004 13.059 0.037 0.059
J014049-083942 3.188185 0.013 0.002 12.557 0.062 0.102
J014049-083942 2.9016519 0.339 0.014 14.002 0.022 0.029
J014049-083942 3.0329191 0.102 0.006 13.448 0.026 0.041
J014049-083942 2.8644642 0.064 0.004 13.258 0.042 0.058
J014049-083942 3.0820429 0.731 0.009 14.513 0.024 0.03
J014049-083942 3.0992523 0.461 0.013 14.167 0.021 0.027
J014049-083942 3.2768797 0.113 0.011 13.479 0.025 0.041
J014049-083942 2.9212653 0.046 0.003 13.13 0.056 0.076
J014049-083942 3.1110896 0.028 0.003 12.855 0.041 0.074
J014214+002324 3.1514624 0.029 0.002 12.906 0.053 0.079
J014214+002324 2.6754226 0.177 0.01 13.716 0.031 0.039
J014214+002324 2.955957 0.101 0.007 13.429 0.025 0.039
J014214+002324 3.3086445 0.197 0.008 13.748 0.025 0.033
J014214+002324 2.8578585 0.031 0.005 12.873 0.03 0.067
J014214+002324 3.026523 0.172 0.013 13.658 0.02 0.031
J014214+002324 3.211247 0.015 0.002 12.572 0.053 0.1
J014717+125808 1.4140175 0.169 0.009 13.797 0.037 0.069
J014944+150106 2.0016482 0.298 0.011 14.109 0.0 1.0
J014944+150106 1.4571562 0.178 0.006 13.763 0.039 0.047
J014944+150106 1.9087021 0.052 0.008 13.118 0.033 0.074
J014944+150106 1.9393547 0.222 0.005 14.087 0.038 0.053
J014944+150106 1.964689 0.109 0.006 13.655 0.061 0.079
J014944+150106 1.8154428 0.266 0.012 13.918 0.026 0.038
J015227-200107 1.7662291 0.148 0.014 13.661 0.029 0.063
J015227-200107 1.9286723 0.137 0.006 13.732 0.044 0.086
J015227-200107 1.4807106 0.104 0.007 13.449 0.027 0.05
J015234+335033 2.1411892 0.231 0.01 13.876 0.027 0.037
J015234+335033 1.9556096 0.576 0.01 14.438 0.0 1.0
J015234+335033 2.3368119 0.074 0.004 13.309 0.035 0.049
J015234+335033 2.204075 0.381 0.011 14.15 0.026 0.032
J015234+335033 2.2738982 0.068 0.007 13.263 0.029 0.05
J015234+335033 1.8450688 0.077 0.008 13.327 0.031 0.056
J015234+335033 2.064215 0.161 0.006 13.697 0.031 0.042
J015234+335033 2.3454229 0.013 0.002 12.484 0.038 0.092
J015734+744243 1.6528937 0.178 0.008 13.692 0.025 0.035
J015734+744243 2.0184002 0.144 0.002 13.92 0.0 1.0
J015734+744243 2.0539472 0.064 0.006 13.223 0.03 0.054
J015734+744243 1.962901 0.058 0.003 13.307 0.074 0.092
J020457-170119 1.1513167 0.268 0.005 14.128 0.04 0.054
J020457-170119 1.533241 0.034 0.002 13.008 0.074 0.093
J020457-170119 1.685588 0.176 0.006 13.716 0.031 0.038
J020944+051713 3.2005855 0.302 0.009 14.036 0.033 0.041
J020944+051713 3.2740895 0.124 0.009 13.54 0.028 0.048
J020950-000506 2.5230382 0.599 0.004 14.528 0.024 0.03
J020950-000506 2.7525967 0.012 0.002 12.452 0.031 0.064
J020950-000506 2.5914767 0.177 0.003 13.758 0.031 0.034
J020950-000506 2.6413543 0.11 0.004 13.648 0.053 0.059
J020950-000506 2.4110746 0.023 0.003 12.752 0.032 0.05
J020950-000506 2.248834 0.006 0.001 12.162 0.044 0.09
J020950-000506 2.3745022 0.018 0.002 12.662 0.045 0.065
J020950-000506 2.1539192 0.032 0.002 12.939 0.05 0.058
J020950-000506 2.6610695 0.134 0.006 13.546 0.019 0.025
J020950-000506 2.4185478 0.019 0.002 12.709 0.053 0.07
J020950-000506 2.5461975 0.119 0.004 13.513 0.024 0.029
J020950-000506 2.3282771 0.032 0.003 12.916 0.035 0.049
J020950-000506 2.2735299 0.013 0.002 12.473 0.039 0.08
J020950-000506 2.5744872 0.237 0.003 13.992 0.035 0.039
J021043-001818 3.6966227 0.341 0.013 14.09 0.029 0.038
J021129+124110 2.1939422 0.36 0.013 14.165 0.017 0.034
J021129+124110 2.3273569 0.476 0.017 14.31 0.0 1.0
J021129+124110 2.2742429 0.37 0.027 14.149 0.012 0.042
J021129+124110 2.3992232 0.633 0.021 14.43 0.0 1.0
J021129+124110 2.2328529 0.267 0.014 14.021 0.018 0.052
J021129+124110 2.8922133 0.164 0.014 13.751 0.023 0.053
J021657+081727 2.6676446 0.109 0.008 13.473 0.023 0.037
J021657+081727 2.2891011 0.825 0.023 14.529 0.0 1.0
J021657+081727 2.7205339 0.177 0.004 14.06 0.0 1.0
J021657+081727 2.2928467 1.49 0.023 14.914 0.0 1.0
J021657+081727 2.4340001 0.079 0.008 13.315 0.027 0.045
J021657+081727 2.3365013 0.113 0.01 13.512 0.028 0.049
J021657+081727 2.2193985 0.228 0.014 13.825 0.021 0.038
J021657+081727 2.8977603 0.025 0.002 12.853 0.066 0.089
J021741-370059 2.5833772 0.345 0.007 14.127 0.033 0.038
J021741-370059 2.3385257 0.073 0.004 13.293 0.034 0.05
J021741-370059 2.4287191 0.258 0.006 13.949 0.034 0.04
J021741-370059 2.3815792 0.504 0.006 14.411 0.03 0.039
J021741-370059 2.7555465 0.046 0.004 13.066 0.034 0.057
J021741-370059 2.5140218 0.184 0.006 13.733 0.029 0.036
J021741-370059 2.2377745 0.028 0.002 12.911 0.074 0.095
J021741-370059 2.8353825 0.065 0.003 13.282 0.049 0.06
J021741-370059 2.7964322 0.206 0.008 13.776 0.025 0.033
J021857+081727 2.667569 0.108 0.01 13.452 0.025 0.04
J021857+081727 2.4338665 0.067 0.006 13.253 0.033 0.051
J021857+081727 2.3365077 0.139 0.008 13.59 0.028 0.039
J021857+081727 2.8977642 0.024 0.002 12.86 0.077 0.101
J021857+081727 2.6068126 0.054 0.007 13.125 0.026 0.05
J021857+081727 2.689123 0.027 0.005 12.801 0.04 0.079
J021857+081727 2.2196434 0.179 0.007 13.704 0.026 0.034
J022554+005451 2.370822 0.357 0.013 14.215 0.0 1.0
J022554+005451 2.4074758 0.264 0.02 14.0 0.01 0.031
J022554+005451 2.7383795 0.415 0.013 14.227 0.0 1.0
J022853-033737 1.5301495 0.04 0.003 13.038 0.045 0.078
J022853-033737 1.7776663 0.182 0.008 13.75 0.031 0.042
J022853-033737 1.922737 0.08 0.006 13.37 0.041 0.061
J022853-033737 1.9035057 0.042 0.004 13.062 0.045 0.081
J022853-033737 1.6102129 0.193 0.008 13.905 0.046 0.062
J022928-364357 2.0560427 0.071 0.005 13.349 0.048 0.075
J022928-364357 1.5195992 0.363 0.01 14.194 0.026 0.047
J022928-364357 1.461441 0.299 0.008 14.177 0.0 1.0
J022928-364357 1.6379767 0.178 0.015 13.749 0.03 0.054
J022928-364357 2.0764937 0.18 0.01 13.815 0.04 0.058
J023359+004938 1.8386947 0.141 0.007 13.747 0.045 0.08
J023359+004938 2.3978154 0.141 0.01 13.724 0.031 0.093
J023359+004938 2.0181905 0.292 0.013 14.11 0.0 1.0
J023359+004938 2.228607 0.241 0.01 14.05 0.0 1.0
J023359+004938 2.0093139 0.098 0.008 13.576 0.0 1.0
J023924-090138 2.3933468 0.474 0.024 14.287 0.012 0.039
J023924-090138 2.0040064 0.078 0.007 13.408 0.041 0.104
J024221+004912 1.9320548 0.287 0.008 14.021 0.036 0.043
J024221+004912 1.8180757 0.092 0.002 13.512 0.056 0.064
J024221+004912 1.9459312 0.486 0.02 14.177 0.02 0.025
J024221+004912 1.4788548 0.076 0.002 13.459 0.068 0.079
J024221+004912 1.8016084 0.197 0.005 13.909 0.045 0.051
J024312-055055 1.2728886 0.424 0.02 14.276 0.0 1.0
J024312-055055 1.6311045 0.573 0.011 14.518 0.0 1.0
J024312-055055 1.536667 0.274 0.006 14.161 0.0 1.0
J024312-055055 1.6070716 0.228 0.006 14.122 0.0 1.0
J024658-123630 1.5844842 0.092 0.007 13.46 0.049 0.063
J024658-123630 1.8464779 0.341 0.009 14.135 0.032 0.041
J024658-123630 1.86303 0.379 0.009 14.164 0.029 0.038
J024756-055559 3.5799452 0.655 0.015 14.459 0.023 0.034
J024756-055559 3.6402317 0.068 0.005 13.314 0.053 0.075
J024756-055559 3.2184097 0.279 0.016 13.887 0.018 0.028
